time_s,liquid_volume_m3,gas_volume_m3,vapour_water_volume_m3,phaseChange_mDot_integ
362.0,2.4006491240000033e-05,1.7993507063102903e-05,5.574105193245616e-07,-1.1393181512266621e-06
364.0,2.4006926001559618e-05,1.799307230120804e-05,6.10231790584597e-07,-8.880542275296715e-07
366.0,2.4007434730757847e-05,1.799256357122393e-05,5.768833168855916e-07,-8.993141899006724e-07
368.0,2.4008100365293975e-05,1.799189793484208e-05,5.441755337540477e-07,-7.152851751608012e-07
370.0,2.4008843963199932e-05,1.7991154341183637e-05,6.774519432235064e-07,-8.067750544175081e-07
372.0,2.4009069996956297e-05,1.7990928303977794e-05,6.165168240158264e-07,-9.363061571336178e-07
374.0,2.4009561665824707e-05,1.7990436640804953e-05,4.7460927321529724e-07,-1.162557530582177e-06
376.0,2.400990894164681e-05,1.7990089360078872e-05,4.973127117385117e-07,-9.289444115555338e-07
378.0,2.4010185117668443e-05,1.7989813182687792e-05,6.364116384406681e-07,-8.949255956808045e-07
380.0,2.4010317303289514e-05,1.798968099551734e-05,6.28965604071432e-07,-8.280222003447886e-07
382.0,2.4010687270095715e-05,1.7989311030753243e-05,6.335647882303975e-07,-9.6751694221503e-07
384.0,2.4010847574710607e-05,1.798915073089836e-05,5.930478536458455e-07,-8.124266063977955e-07
386.0,2.401120180431311e-05,1.7988796496744212e-05,5.006509604106143e-07,-9.721586431010284e-07
388.0,2.4011441171913537e-05,1.798855713381647e-05,7.23971438508225e-07,-1.0520759791306352e-06
390.0,2.4011698605394438e-05,1.7988299700473566e-05,6.246635620432605e-07,-1.2883910084834943e-06
392.0,2.4011927086270736e-05,1.7988071212891135e-05,5.120211527991591e-07,-8.81556774575112e-07
394.0,2.401216426686821e-05,1.7987834039742773e-05,5.782648856672717e-07,-9.419634692594444e-07
396.0,2.4012306438011495e-05,1.7987691863888706e-05,7.574401179347022e-07,-9.321949431290008e-07
398.0,2.4012258208986768e-05,1.7987740096150813e-05,6.926526236923708e-07,-1.2112382746949455e-06
400.0,2.4012296883085627e-05,1.79877014239012e-05,6.794920131652275e-07,-9.98313311129533e-07
402.0,2.401250361922366e-05,1.7987494687276008e-05,6.423423931781593e-07,-1.0006524743938095e-06
404.0,2.401250430936669e-05,1.7987493997170446e-05,5.978751330942833e-07,-9.716608818860499e-07
406.0,2.4012484698193843e-05,1.7987513606585836e-05,7.316250414605899e-07,-1.1778484402082828e-06
408.0,2.4012653633197565e-05,1.7987344667504582e-05,5.55996897170429e-07,-1.0647851390704197e-06
